ID,Reporting_Year,NPRI_ID,Facility_Name,Company_Name,Province,CAS_Number,Substance_Name,Group,Category,Quantity,Units
1,2002,231,JAMES STREET PLANT,DELHI INDUSTRIES INC,ON,NA - 04,Chromium (and its compounds),Total All Media<1t,All Media,0.007,tonnes
2,2004,231,JAMES STREET PLANT,DELHI INDUSTRIES INC,AB,NA - 09,Manganese (and its compounds),Total All Media<1t,All Media,0.009,tonnes
3,2004,231,JAMES STREET PLANT,DELHI INDUSTRIES INC,AB,NA - 11,Nickel (and its compounds),Total All Media<1t,All Media,0.009,tonnes
4,2009,231,TRENTON DIVISION,DELHI INDUSTRIES INC,AB,NA - 14,Zinc (and its compounds),Total All Media<1t,All Media,0.021,tonnes
5,2002,231,JAMES STREET PLANT,DELHI INDUSTRIES INC,AB,NA - M16,Volatile Organic Compounds (VOCs),Releases to Air,Stack / Point,19.2,tonnes
6,2002,239,TRENTON DIVISION,NORAMPAC INC.,AB,11104-93-1,Nitrogen oxides (expressed as NO2),Releases to Air,Stack / Point,88.9,tonnes
7,2002,239,TRENTON DIVISION,NORAMPAC INC.,AB,630-08-0,Carbon monoxide,Releases to Air,Stack / Point,39.3,tonnes
8,2002,239,TRENTON DIVISION,NORAMPAC INC.,AB,67-56-1,Methanol,Releases to Air,Stack / Point,135.6,tonnes
9,2002,239,TRENTON DIVISION,NORAMPAC INC.,AB,NA - M09,PM10 - Particulate Matter <= 10 Microns,Releases to Air,Stack / Point,3.558,tonnes
10,2002,239,TRENTON DIVISION,NORAMPAC INC.,AB,NA - M09,PM10 - Particulate Matter <= 10 Microns,Releases to Air,Road dust,4.502,tonnes
11,2002,239,TRENTON DIVISION,NORAMPAC INC.,AB,NA - M10,PM2.5 - Particulate Matter <= 2.5 Microns,Releases to Air,Stack / Point,3.558,tonnes
12,2002,239,TRENTON DIVISION,NORAMPAC INC.,AB,NA - M10,PM2.5 - Particulate Matter <= 2.5 Microns,Releases to Air,Road dust,1.076,tonnes
13,2002,239,TRENTON DIVISION,NORAMPAC INC.,AB,NA - M16,Volatile Organic Compounds (VOCs),Releases to Air,Stack / Point,200.7,tonnes
14,2002,249,DREW CANADA,ASHLAND CANADA CORPORATION,AB,107-21-1,Ethylene glycol,Total All Media<1t,All Media,0.008,tonnes
15,2006,249,DREW CANADA,ASHLAND CANADA CORPORATION,AB,7632-00-0,Sodium nitrite,Total All Media<1t,All Media,0.001,tonnes
16,2006,249,DREW CANADA,ASHLAND CANADA CORPORATION,AB,7647-01-0,Hydrochloric acid,Total All Media<1t,All Media,0.003,tonnes
17,2006,249,DREW CANADA,ASHLAND CANADA CORPORATION,AB,7664-93-9,Sulphuric acid,Total All Media<1t,All Media,0,tonnes
18,2006,249,DREW CANADA,ASHLAND CANADA CORPORATION,AB,9016-45-9,Nonylphenol polyethylene glycol ether,Total All Media<1t,All Media,0.01,tonnes
19,2006,250,GIBBONS SITE,DEGUSSA CANADA INC.,AB,7664-93-9,Sulphuric acid,Total All Media<1t,All Media,0,tonnes
20,2006,250,GIBBONS SITE,DEGUSSA CANADA INC.,AB,7782-50-5,Chlorine,Total All Media<1t,All Media,0.123,tonnes
21,2006,250,GIBBONS SITE,DEGUSSA CANADA INC.,AB,NA - 16,Ammonia (total),Total All Media<1t,All Media,0.007,tonnes
22,2006,252,DURAL PLANT DIV MULTIBOND.,DURAL DIV MULTIBOND.,QC,107-21-1,Ethylene glycol,Total All Media<1t,All Media,0,tonnes
23,2006,252,DURAL PLANT DIV MULTIBOND.,DURAL DIV MULTIBOND.,QC,108-05-4,Vinyl acetate,Total All Media<1t,All Media,0,tonnes
24,2006,305,ANDEROL  OAKVILLE,ANDEROL CANADA CORP.,ON,1717-00-6,HCFC-141b,Releases to Air,Stack / Point,3.074,tonnes
25,2006,305,ANDEROL  OAKVILLE,ANDEROL CANADA CORP.,ON,630-08-0,Carbon monoxide,Total All Media<1t,All Media,0.143,tonnes
26,2006,305,ANDEROL  OAKVILLE,ANDEROL CANADA CORP.,ON,9/5/7446,Sulphur dioxide,Total All Media<1t,All Media,0.004,tonnes
27,2006,305,ANDEROL  OAKVILLE,ANDEROL CANADA CORP.,ON,NA - M08,PM - Total Particulate Matter,Total All Media<1t,All Media,0.054,tonnes
28,2006,305,ANDEROL  OAKVILLE,ANDEROL CANADA CORP.,ON,NA - M09,PM10 - Particulate Matter <= 10 Microns,Total All Media<1t,All Media,0.054,tonnes
29,2006,305,ANDEROL  OAKVILLE,ANDEROL CANADA CORP.,ON,NA - M10,PM2.5 - Particulate Matter <= 2.5 Microns,Total All Media<1t,All Media,0.054,tonnes
30,2006,305,ANDEROL  OAKVILLE,ANDEROL CANADA CORP.,ON,NA - M16,Volatile Organic Compounds (VOCs),Releases to Air,Fugitive,1.93,tonnes
31,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,118-74-1,Hexachlorobenzene,Total All Media<1t,All Media,0,grams
32,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,1313-27-5,Molybdenum trioxide,Total All Media<1t,All Media,0.021,tonnes
33,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,9/5/7446,Sulphur dioxide,Releases to Air,Stack / Point,195.162,tonnes
34,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - 04,Chromium (and its compounds),Total All Media<1t,All Media,0.087,tonnes
35,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - 09,Manganese (and its compounds),Total All Media<1t,All Media,0.067,tonnes
36,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - 11,Nickel (and its compounds),Total All Media<1t,All Media,0.016,tonnes
37,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - D/F,Dioxins and furans - total,Total All Media<1t,All Media,0,g TEQ(ET)
38,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - M09,PM10 - Particulate Matter <= 10 Microns,Releases to Air,Stack / Point,5.243,tonnes
39,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - M09,PM10 - Particulate Matter <= 10 Microns,Releases to Air,Storage / Handling,3.321,tonnes
40,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - M09,PM10 - Particulate Matter <= 10 Microns,Releases to Air,Road dust,0.175,tonnes
41,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - M10,PM2.5 - Particulate Matter <= 2.5 Microns,Releases to Air,Stack / Point,3.47,tonnes
42,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - M10,PM2.5 - Particulate Matter <= 2.5 Microns,Releases to Air,Storage / Handling,1.37,tonnes
43,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - M10,PM2.5 - Particulate Matter <= 2.5 Microns,Releases to Air,Road dust,0.054,tonnes
44,2006,315,PHO FOUNDRY,ESCO LIMITED,ON,NA - M16,Volatile Organic Compounds (VOCs),Releases to Air,Stack / Point,16.435,tonnes
45,2006,319,NORTH BAY SITE,ETI CANADA INC.,ON,7697-37-2,Nitric acid,Releases to Air,Stack / Point,1.074,tonnes
46,2006,319,NORTH BAY SITE,ETI CANADA INC.,ON,7697-37-2,Nitric acid,Releases to Land,Other,0,tonnes
47,2002,319,NORTH BAY SITE,ETI CANADA INC.,ON,NA - 16,Ammonia (total),Releases to Water,Direct Discharges,1.81,tonnes
48,2002,319,NORTH BAY SITE,ETI CANADA INC.,ON,NA - 17,Nitrate ion in solution at pH >= 6.0,Releases to Water,Direct Discharges,22.35,tonnes
49,2002,327,WESTON SITE,IRVING TISSUE CORPORATION,ON,11104-93-1,Nitrogen oxides (expressed as NO2),Releases to Air,Stack / Point,39.79,tonnes
50,2002,327,WESTON SITE,IRVING TISSUE CORPORATION,ON,630-08-0,Carbon monoxide,Releases to Air,Stack / Point,33.34,tonnes
51,2002,327,WESTON SITE,IRVING TISSUE CORPORATION,ON,NA - M08,PM - Total Particulate Matter,Releases to Air,Stack / Point,48.36,tonnes
52,2002,327,WESTON SITE,IRVING TISSUE CORPORATION,ON,NA - M09,PM10 - Particulate Matter <= 10 Microns,Releases to Air,Stack / Point,27.05,tonnes
53,2002,327,WESTON SITE,IRVING TISSUE CORPORATION,ONTARIO,NA - M10,PM2.5 - Particulate Matter <= 2.5 Microns,Releases to Air,Stack / Point,5.29,tonnes
54,2002,327,WESTON SITE,IRVING TISSUE CORPORATION,ONTARIO,NA - M16,Volatile Organic Compounds (VOCs),Releases to Air,Stack / Point,13.1,tonnes
55,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,107-21-1,Ethylene glycol,Total All Media<1t,All Media,0.1,tonnes
56,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,108-10-1,Methyl isobutyl ketone,Releases to Air,Fugitive,1,tonnes
57,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,108-88-3,Toluene,Releases to Air,Fugitive,4,tonnes
58,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,109-86-4,2-Methoxyethanol,Total All Media<1t,All Media,0.1,tonnes
59,2002,230,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,111-15-9,2-Ethoxyethyl acetate,Total All Media<1t,All Media,0.1,tonnes
60,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,111-76-2,2-Butoxyethanol,Total All Media<1t,All Media,0.84,tonnes
61,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,121-44-8,Triethylamine,Total All Media<1t,All Media,0.1,tonnes
62,2002,231,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,1330-20-7,Xylene (mixed isomers),Releases to Air,Fugitive,3.8,tonnes
63,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,50-00-0,Formaldehyde,Total All Media<1t,All Media,0.1,tonnes
64,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,67-56-1,Methanol,Total All Media<1t,All Media,0.6,tonnes
65,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,67-63-0,Isopropyl alcohol,Total All Media<1t,All Media,0.1,tonnes
66,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,71-36-3,n-Butyl alcohol,Total All Media<1t,All Media,0.1,tonnes
67,2002,330,USINE D'ANJOU,FEROX INC / LAQUES INTERNATIONAL INC,QC,78-93-3,Methyl ethyl ketone,Total All Media<1t,All Media,0.852,tonnes
68,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,10049-04-4,Chlorine dioxide,Total All Media<1t,All Media,0.8,tonnes
69,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,11104-93-1,Nitrogen oxides (expressed as NO2),Releases to Air,Stack / Point,1249,tonnes
70,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,118-74-1,Hexachlorobenzene,Releases to Air,Stack / Point,106.4,grams
71,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,129-00-0,Pyrene - PAH,Releases to Air,Stack / Point,11.29,kg
72,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,129-00-0,Pyrene - PAH,Releases to Water,Direct Discharges,3.16,kg
73,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,1319-77-3,Cresol (mixed isomers and their salts),Releases to Air,Stack / Point,8,tonnes
74,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,1319-77-3,Cresol (mixed isomers and their salts),Releases to Air,Storage / Handling,3.1,tonnes
75,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,1319-77-3,Cresol (mixed isomers and their salts),Releases to Air,Fugitive,0,tonnes
76,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,189-55-9,"Dibenzo(a,i)pyrene - PAH",Total All Media<1t,All Media,0,kg
77,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,191-24-2,"Benzo(g,h,i)perylene - PAH",Releases to Air,Stack / Point,0.67,kg
78,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,191-24-2,"Benzo(g,h,i)perylene - PAH",Releases to Water,Direct Discharges,0.35,kg
79,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,192-97-2,Benzo(e)pyrene - PAH,Total All Media<1t,All Media,0.03,kg
80,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,193-39-5,"Indeno(1,2,3-CD)pyrene - PAH",Releases to Air,Stack / Point,0.66,kg
81,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,193-39-5,"Indeno(1,2,3-CD)pyrene - PAH",Releases to Water,Direct Discharges,0.35,kg
82,2002,333,ELK FALLS DIVISION,NORSKECANADA,BC,194-59-2,"7H-Dibenzo(c,g)carbazole - PAH",Total All Media<1t,All Media,0,kg
83,2002,333,ELK FALLS DIVISION,NORSKECANADA,British-Columbia,198-55-0,Perylene - PAH,Releases to Air,Stack / Point,26.36,kg
84,2002,333,ELK FALLS DIVISION,NORSKECANADA,British-Columbia,205-82-3,Benzo(j)fluoranthene - PAH,Total All Media<1t,All Media,0.23,kg
85,2002,333,ELK FALLS DIVISION,NORSKECANADA,British-Columbia,205-99-2,Benzo(b)fluoranthene - PAH,Total All Media<1t,All Media,0.72,kg
86,2002,333,ELK FALLS DIVISION,NORSKECANADA,British-Columbia,206-44-0,Fluoranthene - PAH,Releases to Air,Stack / Point,7.92,kg
87,2002,333,ELK FALLS DIVISION,NORSKECANADA,British-Columbia,206-44-0,Fluoranthene - PAH,Releases to Water,Direct Discharges,1.79,kg
88,2002,333,ELK FALLS DIVISION,NORSKECANADA,NS,207-08-9,Benzo(k)fluoranthene - PAH,Total All Media<1t,All Media,0.6,kg
89,2002,333,ELK FALLS DIVISION,NORSKECANADA,NS,218-01-9,Benzo(a)phenanthrene - PAH,Releases to Air,Stack / Point,1.07,kg
90,2002,333,ELK FALLS DIVISION,NORSKECANADA,NS,224-42-0,"Dibenz(a,j)acridine - PAH",Total All Media<1t,All Media,0,kg
91,2002,333,ELK FALLS DIVISION,NORSKECANADA,NS,50-32-8,Benzo(a)pyrene - PAH,Releases to Air,Stack / Point,5.26,kg
92,2002,333,ELK FALLS DIVISION,NORSKECANADA,NS,53-70-3,"Dibenzo(a,h)anthracene - PAH",Total All Media<1t,All Media,0.52,kg
93,2002,333,ELK FALLS DIVISION,NORSKECANADA,British-Columbia,630-08-0,Carbon monoxide,Releases to Air,Stack / Point,2731.59,tonnes
